planet,"A large body orbiting a star, like Earth"
castle,"A fortified building often associated with kings and knights"
jungle,"A dense tropical forest full of wildlife"
puzzle,"A game that tests your problem-solving skills"
rocket,"A vehicle designed to travel into space"
mirror,"Something that reflects your image"
silver,"A shiny grey metal often used in jewelry"
dragon,"A mythical creature that breathes fire"
island,"Land surrounded by water"
forest,"A large area covered with trees"
notebook,"Used for writing notes in school or work"
keyboard,"Used to type on a computer"
airplane,"A vehicle that flies in the sky"
backpack,"A bag carried on your back"
diamond,"A precious gemstone known for its hardness"
sandwich,"A meal made with bread and fillings"
hospital,"A place where people receive medical care"
treasure,"Valuable items like gold or jewels"
calendar,"Used to keep track of dates and events"
umbrella,"Used to stay dry in the rain"
butterfly,"An insect with colorful wings"
chocolate,"A sweet treat made from cacao beans"
telescope,"Used to observe distant stars and planets"
mountain,"A large natural elevation of earth"
orchestra,"A large group of musicians playing together"
lightning,"A flash of electricity in the sky during a storm"
volcano,"A mountain that can erupt with lava"
skeleton,"The framework of bones in a body"
dinosaur,"An ancient reptile that roamed the Earth millions of years ago"
waterfall,"Water falling from a height into a pool below"
champagne,"A sparkling wine often used to celebrate"
crocodile,"A large reptile found near rivers and swamps"
submarine,"A vessel that travels underwater"
geography,"The study of Earth's landscapes and environments"
porcupine,"A rodent covered in sharp quills"
sculpture,"A three-dimensional work of art"
hurricane,"A powerful tropical storm with strong winds"
fireworks,"Explosive devices used for celebrations"
jellyfish,"A sea creature with a soft body and trailing tentacles"
caterpillar,"The larval stage of a butterfly or moth"
saxophone,"A wind instrument often used in jazz music"
parachute,"A device used to slow descent through the air"
architect,"A person who designs buildings"
laboratory,"A room equipped for scientific experiments"
strawberry,"A small red fruit with seeds on its surface"
basketball,"A sport played by throwing a ball through a hoop"
chandelier,"A decorative hanging light fixture"
microscope,"An instrument used to see very small objects"
helicopter,"An aircraft that uses rotating blades to fly"
earthquake,"A sudden shaking of the ground"
dictionary,"A book containing word definitions"
philosophy,"The study of fundamental questions about existence"
rhinoceros,"A large animal with one or two horns on its nose"
ambassador,"A diplomat representing their country abroad"
archipelago,"A group of islands"
bookshelf,"A piece of furniture used to store books"
blackboard,"A dark surface used for writing with chalk"
cartoonist,"An artist who draws humorous illustrations"
centipede,"A long insect with many legs"
clocktower,"A tall structure with a large clock on top"
crossword,"A word puzzle in a grid of squares"
evergreen,"A tree that keeps its leaves all year round"
flamingo,"A pink bird known for standing on one leg"
geography,"The study of Earth's physical features"
gladiator,"A fighter who competed in ancient Roman arenas"
goldfish,"A small orange fish kept as a pet"
gorilla,"The largest of the great apes"
gymnasium,"A room or building equipped for physical exercise"
halloween,"An annual holiday celebrated on October 31st"
hamburger,"A sandwich made with a beef patty"
harmonica,"A small wind instrument played with the mouth"
honeybee,"An insect that produces honey"
hourglass,"A device used to measure time with sand"
hurricane,"A large tropical storm system"
imaginary,"Something that exists only in the mind"
inspector,"A person who examines things officially"
invention,"A new device or process created by someone"
jellybean,"A small bean-shaped candy"
kangaroo,"An Australian marsupial known for hopping"
labyrinth,"A complex maze or network of paths"
lantern,"A portable light source enclosed in a case"
